AJ302436	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	undulata
AJ302444	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	quercina
AJ302424	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	disciformis
AJ302434	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	stigma
AJ302435	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	stigma
AJ302438	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	stigma
AJ302439	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	stigma
AJ302457	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	flavovirens
AJ302427	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	flavovirens
AJ302426	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	flavovirens
AJ302456	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	petrakii
AJ302452	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	lata
AJ302459	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	lata
AJ302446	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	armeniacae
AJ302451	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	lata
AJ302453	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	leptoplaca
AJ302458	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	astroidea
AJ302448	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	crustata
AJ302454	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	maura
AJ302447	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	consobrina
AJ302440	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	favacea
AJ302443	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrypella	pulvinata
AJ302421	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Cryptosphaeria	eunomia
AJ302417	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Cryptosphaeria	eunomia
AJ302419	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Cryptosphaeria	pullmanensis
AJ302418	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Cryptosphaeria	lignyota
AJ302420	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Cryptosphaeria	subcutanea
AJ302469	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypella	quaternata
