EF679334	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	antarcticum
JN906978	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	aphidis
JN906979	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	arthropodii
HM147998	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	asperulatum
HM148000	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	basi-inflatum
AY251078	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	bruhnei
HM148001	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	chalastosporoides
HM148003	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	cladosporioides
HM148072	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	cucumerinum
JN906980	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	echinulatum
HM148090	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	exasperatum
DQ780388	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	fusiforme
HM148095	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	gamsianum
HM148096	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	globisporum
JF770450	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	grevilleae
DQ780364	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	halotolerans
EF679363	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	herbarum
HM148101	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	inversicolor
DQ780379	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	langeronii
HM148115	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	lycoperdinum
EF679375	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	macrocarpum
HM148120	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	paracladosporioides
HM148121	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	perangustum
JF499837	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	phaenocomae
HM148154	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	phyllophilum
FJ936160	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	pini-ponderosae
HM148193	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	rectoides
DQ780374	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	salinae
EF679354	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	silenes
DQ780343	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	sphaerospermum
EF679388	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	spinulosum
EF679389	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	subinflatum
HM148197	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	tenuissimum
KF251288	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Caryophylloseptoria	lychnidis
KF251290	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Caryophylloseptoria	pseudolychnidis
KF251292	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Caryophylloseptoria	silenes
KF251295	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Caryophylloseptoria	spergulae
KF251146	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	beticola
GU269703	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	eucommiae
KF251297	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Cercospora	zebrina
JX901736	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Dothistroma	pini
KF251303	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Dothistroma	septosporum
JX901755	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Lecanosticta	acicola
JX901763	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Lecanosticta	brevispora
JX901764	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Lecanosticta	guatamalensis
EU167579	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pallidocercospora	crystallina
AY260088	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pallidocercospora	holualoana
KF901801	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pallidocercospora	holualoana
KF901706	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pallidocercospora	irregulariramosa
